location
"United States of America"
"France métropolitaine"
"Polska"
"España"
"‏ايران‎"
"Србија"
"France"
"日本"
"België - Belgique - Belgien"
"Österreich"
"Brasil"
"Australia"
"中国"
"Ελλάδα"
"Canada"
"New Zealand/Aotearoa"
"Deutschland"
"United Kingdom"
"Россия"
"Philippines"
"Nederland"
"Eesti"
"Italia"
"Colombia"
"Sverige"
"Schweiz, Suisse, Svizzera, Svizra"
"Hrvatska"
"Norge"
"El Salvador"
"السودان - Sudan"
"México"
"Česko"
"Danmark"
"Chile"
"Монгол улс"
"Indonesia"
"Україна"
"România"
"대한민국"
"المغرب Maroc ⵍⵎⴰⵖⵔⵉⴱ"
"ශ්‍රී ලංකා"
"България"
"Portugal"
"Isle of Man"
"বাংলাদেশ"
"Jamaica"
"Argentina"
"حدود ‏المملكة العربية السعودية‎"
"Perú"
"India"
"تونس"
"Magyarország"
"Crna Gora"
"Việt Nam"
"Lietuva"
"Suomi"
"Казахстан"
"Armenia"
"South Africa"
"British Virgin Islands"
"‏البحرين‎"
"საქართველო"
"Slovensko"
"Algérie الجزائر"
"Ecuador"
"Uganda"
"Republic of Ireland"
"Territorial waters of Malta"
"Türkiye"
"Беларусь"
"Cuba"
"الإمارات العربيّة المتّحدة"
"undefined"
"Bermuda"
"Costa Rica"
"Puerto Rico"
"Nigeria"
"ኢትዮጵያ Ethiopia"
"Κύπρος"
"Portugal (águas territoriais)"
"Singapura"
"Botswana"
"Paraguay"
"‏الكويت‎"
"מדינת ישראל"
"Maroc المغرب"
"台灣"
"Azərbaycan"
"Venezuela"
"República Dominicana"
"Honduras"
"Bosna i Hercegovina"
"Молдова"
"조선민주주의인민공화국"
"Latvija"
"République démocratique du Congo"
"Slovenija"
"O'zbekiston"
"ပြည်ထောင်စုမြန်မာနိုင်ငံတော်‌"
"France, Polynésie française, Îles Australes (eaux territoriales)"
"אזור יהודה והשומרון"
"Malaysia"
"Ísland"
"Panamá"
"Oʻzbekiston"
"Bahamas"
"ประเทศไทย"
"Ayiti"
"Κύπρος - Kıbrıs"
"‏پاکستان‎"
"Uruguay"
"Zambia"
"Moldova"
"Madagasikara"
"France, Polynésie française, Archipel des Tuamotu (eaux territoriales)"
"ព្រះរាជាណាចក្រកម្ពុជា"
"مصر"
"Bolivia"
"नेपाल"
"جمهورية مصر العربية"
"Kenya"
"Тоҷикистон"
"الجمهورية اللبنانية"
"Македонија"
"Hong Kong"
"조선민주주의인민공화국/North Korea"
"Ghana"
"Liberia"
"ليبيا"
"ປະເທດລາວ"
"Rwanda"
"Mallorca y Minorca, España (territorial waters)"
"Кыргызстан"
"ราชอาณาจักรไทย"
"Territorial waters of Flores and Corvo"
"الأردن"
"Bénin"
"پاکستان"
"Россия — Беларусь"
"Mali"
"Maldives"
"Status Civitatis Vaticanæ"
"Κυπριακή Δημοκρατία"
"Grand Cayman"
"Guatemala"
"Tunisie تونس"
"La Réunion — Eaux Territoriales"
"ព្រះរាជាណាចក្រកម្ពុជា (Cambodia)"
"Nouvelle-Calédonie — eaux territoriales"
"Palestinian Territory"
"Monaco"
"Gibraltar"
"Sesel"
"Liechtenstein"
"Luxembourg"
"Kalaallit Nunaat"
"France métropolitaine — eaux territoriales"
"Tanzania"
"Cayman Islands"
"موريتانيا"
"Barbados"
"Trinidad and Tobago"
"San Marino"
"Nicaragua"
"Malta"
"Guadeloupe"
"Macao"
"‏قطر‎"
"Yemen"
"الجمهورية العربية السورية"
"Guernsey"
"Antigua and Barbuda"
